,Bigram,Count
0,i have,57086
1,i was,54235
2,side effects,47092
3,i am,43631
4,i had,31198
5,and i,29859
6,in the,25099
7,of the,23879
8,this drug,23506
9,that i,19257
10,in my,19246
11,when i,17963
12,it was,17789
13,to the,17400
14,but i,16940
15,for me,15936
16,have been,15732
17,i would,15686
18,weight gain,15106
19,it is,14884
20,the side,14728
21,to be,14406
22,the first,14122
23,on the,14044
24,for the,13655
25,of my,13276
26,taking it,13237
27,to take,12791
28,i started,12463
29,for a,12225
30,i feel,12187
31,to get,11733
32,i took,11542
33,if i,10986
34,this is,10939
35,i can,10819
36,i don't,10740
37,with the,10489
38,a day,10354
39,so i,10277
40,take it,10068
41,all the,10032
42,my life,9950
43,i will,9848
44,and the,9832
45,the drug,9672
46,had a,9609
47,this medication,9523
48,loss of,9503
49,my doctor,9431
50,a few,9400
51,and it,9235
52,out of,9220
53,it i,9177
54,have to,8989
55,me to,8908
56,i felt,8579
57,i take,8565
58,if you,8512
59,is a,8492
60,have a,8432
61,and my,8418
62,going to,8370
63,like i,8199
64,it has,8196
65,the time,8161
66,had to,8126
67,because i,7915
68,on it,7915
69,due to,7895
70,it for,7891
71,i could,7867
72,been on,7854
73,on this,7827
74,on my,7819
75,do not,7742
76,in a,7590
77,has been,7515
78,did not,7484
79,a week,7448
80,taking this,7357
81,at all,7346
82,i did,7340
83,able to,7323
84,is the,7257
85,a little,7223
86,feel like,7187
87,to have,7176
88,sex drive,7027
89,to my,7019
90,i do,7004
91,want to,6999
92,i think,6984
93,a lot,6899
94,have had,6868
95,now i,6813
96,but it,6730
97,as i,6666
98,time i,6603
99,with my,6592
100,at night,6550
101,mood swings,6537
102,back to,6500
103,i also,6476
104,to go,6449
105,day i,6443
106,take this,6443
107,and have,6418
108,the same,6318
109,side effect,6282
110,taking the,6252
111,dry mouth,6243
112,me i,6192
113,at the,6183
114,the only,6051
115,the pain,6040
116,was a,5882
117,but the,5881
118,made me,5878
119,was on,5862
120,for years,5852
121,i went,5832
122,for days,5716
123,i've been,5665
124,i just,5660
125,after taking,5659
126,from the,5642
127,i can't,5606
128,the day,5592
129,to mg,5564
130,of it,5533
131,my body,5485
132,to sleep,5448
133,i thought,5425
134,felt like,5415
135,for about,5414
136,i didn't,5409
137,i stopped,5343
138,to do,5317
139,because of,5303
140,of this,5300
141,that it,5242
142,i got,5240
143,it and,5232
144,off of,5206
145,this medicine,5199
146,to stop,5168
147,and a,5123
148,like a,5104
149,with a,5098
150,pain in,5082
151,a year,5049
152,started taking,5020
153,since i,5015
154,no side,5009
155,i still,5007
156,a month,4992
157,so far,4912
158,for my,4839
159,off the,4791
160,day and,4769
161,was the,4766
162,is not,4730
163,the next,4648
164,of a,4643
165,to a,4624
166,stopped taking,4620
167,and then,4572
168,effects i,4571
169,blood pressure,4510
170,at first,4507
171,been taking,4497
172,the medication,4493
173,i get,4492
174,could not,4481
175,as well,4459
176,to see,4435
177,all of,4410
178,after a,4409
179,and was,4393
180,the last,4371
181,the morning,4311
182,joint pain,4304
183,before i,4295
184,to me,4264
185,used to,4236
186,drug i,4235
187,pain and,4228
188,had no,4219
189,hair loss,4196
190,on a,4177
191,i know,4140
192,seems to,4111
193,need to,4078
194,which is,4030
195,went to,3987
196,of appetite,3971
197,it to,3966
198,during the,3964
199,as a,3942
200,the worst,3917
201,and had,3890
202,after i,3885
203,which i,3861
204,to help,3856
205,this pill,3841
206,thought i,3841
207,effects are,3805
208,the doctor,3805
209,took it,3803
210,told me,3794
211,not sure,3792
212,lack of,3787
213,not take,3774
214,days i,3728
215,i couldn't,3703
216,that the,3697
217,after the,3693
218,for months,3690
219,this med,3677
220,the pill,3671
221,a bit,3660
222,trying to,3658
223,what i,3632
224,panic attacks,3631
225,about the,3625
226,to work,3611
227,a very,3608
228,a couple,3605
229,few days,3602
230,it did,3572
231,seem to,3570
232,never had,3565
233,then i,3559
234,have not,3556
235,up to,3547
236,i never,3546
237,lot of,3544
238,over the,3516
239,if it,3490
240,gave me,3488
241,but not,3479
242,the past,3477
243,my period,3466
244,weight loss,3451
245,you have,3448
246,with this,3435
247,so much,3417
248,was not,3415
249,take the,3404
250,on mg,3386
251,hot flashes,3385
252,you are,3370
253,that is,3367
254,would not,3327
255,i'm not,3315
256,of taking,3282
257,worth it,3278
258,by the,3273
259,stop taking,3271
260,much better,3259
261,more than,3256
