,Word,Count,Weight,Weight_Abs
1613,erection,550,6.0198928224113075,6.0198928224113075
2447,erections,297,5.847423562060364,5.847423562060364
1854,ejaculation,452,5.243328159116321,5.243328159116321
2705,ejaculate,255,4.882158825589749,4.882158825589749
2710,prostate,254,4.7720681355565215,4.7720681355565215
2851,erectile,231,4.730257865496506,4.730257865496506
8250,testicle,30,4.707529614418951,4.707529614418951
2728,ovulation,252,-4.550028257166343,4.550028257166343
7539,impotent,36,4.400504579124038,4.400504579124038
5584,testicles,66,4.302064506310786,4.302064506310786
3165,fibroids,190,-4.258188174565898,4.258188174565898
2058,endometriosis,389,-4.230017297599201,4.230017297599201
2315,penis,325,4.2272328578500025,4.2272328578500025
4847,tampon,87,-4.20102976072595,4.20102976072595
8609,shaft,28,4.192865214345794,4.192865214345794
1851,premarin,453,-4.171176797576268,4.171176797576268
8745,mcg's,27,4.153644501192513,4.153644501192513
11444,estrin,15,-4.094579326704098,4.094579326704098
4332,fibroid,109,-4.021058381276949,4.021058381276949
2433,ovarian,300,-3.936604550438436,3.936604550438436
2503,flomax,287,3.913693831561922,3.913693831561922
4093,mastectomy,122,-3.827405258473444,3.827405258473444
3273,impotence,180,3.79696955725378,3.79696955725378
9752,ejaculatory,21,3.7679820203805288,3.7679820203805288
3968,ovulate,129,-3.7096222228170608,3.7096222228170608
10417,meny,18,3.707357398564093,3.707357398564093
5328,retrograde,73,3.6428188774265218,3.6428188774265218
8380,nicorettes,29,3.6428188774265218,3.6428188774265218
4463,menstruation,103,-3.608526105945692,3.608526105945692
2188,monistat,353,-3.597830816828944,3.597830816828944
2790,viagra,240,3.555807500436892,3.555807500436892
8124,ejaculations,31,3.5374583617686963,3.5374583617686963
3750,tricyclen,143,-3.5311394423302715,3.5311394423302715
4758,contraception,90,-3.5311394423302715,3.5311394423302715
11532,dribbling,15,3.4997180337858484,3.4997180337858484
4725,lumpectomy,92,-3.459680478348127,3.459680478348127
974,pregnancy,1226,-3.4304508400331883,3.4304508400331883
2781,mirena,241,-3.4219401503652795,3.4219401503652795
731,vaginal,1788,-3.381506580786789,3.381506580786789
2854,ovaries,230,-3.364781736525331,3.364781736525331
5212,contraceptives,76,-3.3556907648240792,3.3556907648240792
8623,colchicine,28,3.3326639491226824,3.3326639491226824
3397,bcp,168,-3.313726565725047,3.313726565725047
691,spotting,1944,-3.3060045196311365,3.3060045196311365
9092,castration,25,3.2861439334877898,3.2861439334877898
7048,panty,41,-3.2847390288517953,3.2847390288517953
8897,porn,26,3.2701435921413484,3.2701435921413484
1397,clomid,685,-3.2609283801580764,3.2609283801580764
1051,arimidex,1094,-3.249822763745567,3.249822763745567
1983,vagina,410,-3.249495217067237,3.249495217067237
8227,halcion,31,3.2373537693183576,3.2373537693183576
1769,hysterectomy,478,-3.230788514123053,3.230788514123053
5990,vaginally,58,-3.208366050067221,3.208366050067221
1393,cyclen,689,-3.2003978804180435,3.2003978804180435
2612,ovcon,269,-3.1761051878489983,3.1761051878489983
4529,nessa,100,-3.151207636227272,3.151207636227272
1341,menstrual,731,-3.149806094301984,3.149806094301984
10141,creatine,19,3.1319932536605317,3.1319932536605317
3183,uterine,189,-3.119910629505357,3.119910629505357
1053,provera,1093,-3.0950373647602176,3.0950373647602176
1174,loestrin,891,-3.078606823364121,3.078606823364121
4214,spotted,114,-3.0634320253448863,3.0634320253448863
3571,nuva,155,-3.0634320253448863,3.0634320253448863
5926,menses,59,-3.0542153702399624,3.0542153702399624
5774,bulimia,62,-3.03552323722781,3.03552323722781
4287,breastfeeding,111,-3.026044493273266,3.026044493273266
9793,shrunken,21,3.014210218004148,3.014210218004148
3921,contraceptive,132,-2.9772543291038343,2.9772543291038343
3232,clumpy,183,-2.963831308771693,2.963831308771693
2081,desogen,382,-2.9364323345835786,2.9364323345835786
6589,purse,47,-2.9153789253857467,2.9153789253857467
6133,endometrial,55,-2.9153789253857467,2.9153789253857467
2538,yasmin,282,-2.9153789253857467,2.9153789253857467
2813,uterus,236,-2.8851390401960284,2.8851390401960284
10667,mscontin,18,2.880678825379625,2.880678825379625
2352,prometrium,316,-2.8644588349584903,2.8644588349584903
5821,preg,61,-2.850477481728149,2.850477481728149
572,pregnant,2432,-2.841240072355005,2.841240072355005
2723,menopausal,252,-2.8330539801297436,2.8330539801297436
1102,pms,1003,-2.8322285570535763,2.8322285570535763
9413,masturbating,23,2.8318886612101934,2.8318886612101934
7406,concieve,38,-2.8264314393692502,2.8264314393692502
1337,macrobid,734,-2.8264314393692502,2.8264314393692502
3740,zoladex,144,-2.8029009419590563,2.8029009419590563
6837,dominance,44,-2.7788033903799962,2.7788033903799962
8295,lumpy,30,-2.768999390283375,2.768999390283375
3324,ovary,175,-2.7665332977881816,2.7665332977881816
7042,miscarried,42,-2.7541107777896237,2.7541107777896237
3396,clumps,168,-2.7415319955827644,2.7415319955827644
12376,breastfeed,13,-2.7287929698053346,2.7287929698053346
9705,fertile,22,-2.7287929698053346,2.7287929698053346
7115,glowing,41,-2.7287929698053346,2.7287929698053346
11950,diazapam,14,2.726528145552367,2.726528145552367
11139,modafinil,16,2.726528145552367,2.726528145552367
11303,carvedilol,16,2.726528145552367,2.726528145552367
12216,hobby,13,2.726528145552367,2.726528145552367
6136,cpap,55,2.726528145552367,2.726528145552367
7445,childbirth,37,-2.676149236319912,2.676149236319912
3522,conceive,158,-2.670729168850573,2.670729168850573
8742,methylphenidate,27,2.6693697317124183,2.6693697317124183
1360,menopause,717,-2.6579669172367217,2.6579669172367217
987,wife,1203,2.642988133318196,2.642988133318196
1709,nuvaring,504,-2.627696852933965,2.627696852933965
4778,allopurinol,89,2.5929967529278444,2.5929967529278444
10370,engineer,19,2.5929967529278444,2.5929967529278444
8549,mammogram,28,-2.5915918482918494,2.5915918482918494
493,birth,2998,-2.572697898931888,2.572697898931888
5805,ovule,61,-2.54647141301138,2.54647141301138
7954,dick,33,2.544206588758412,2.544206588758412
2295,hdl,329,2.544206588758412,2.544206588758412
8429,tekturna,29,2.544206588758412,2.544206588758412
6507,parkinsons,48,2.544206588758412,2.544206588758412
11020,intuniv,16,2.544206588758412,2.544206588758412
11337,diskus,15,2.544206588758412,2.544206588758412
12460,mileage,13,2.544206588758412,2.544206588758412
7908,mnths,33,-2.530967226475415,2.530967226475415
1003,boyfriend,1162,-2.5231240490143887,2.5231240490143887
4041,hubby,126,-2.4992185281608346,2.4992185281608346
