,Word,Count
0,i,547756
1,the,360990
2,and,337731
3,to,297431
4,a,211886
5,it,205482
6,my,204543
7,of,177415
8,for,132441
9,was,126150
10,this,124052
11,have,121212
12,in,120734
13,on,97274
14,that,96086
15,but,92767
16,is,92176
17,me,88699
18,not,86190
19,with,82215
20,had,73895
21,side,58053
22,so,55622
23,taking,54712
24,after,54408
25,at,53846
26,am,52572
27,effects,52428
28,as,48390
29,pain,47784
30,all,47139
31,day,46716
32,drug,46123
33,take,45832
34,no,45382
35,like,43859
36,been,43115
37,be,42540
38,if,41351
39,about,39529
40,you,38378
41,has,37616
42,very,37591
43,or,37497
44,mg,36343
45,now,36124
46,up,35183
47,when,34340
48,from,34039
49,feel,32796
50,days,32647
51,time,32332
52,out,32309
53,get,31709
54,are,31686
55,just,31176
56,off,30816
57,would,30184
58,first,29684
59,i'm,29626
60,only,28571
61,weight,28032
62,will,27589
63,more,27587
64,back,27391
65,started,26908
66,do,25539
67,years,25440
68,also,24453
69,because,23855
70,one,23487
71,months,23376
72,some,23304
73,can,22870
74,took,22820
75,anxiety,22598
76,then,22157
77,sleep,22143
78,an,22071
79,which,21788
80,loss,21763
81,did,21685
82,still,21630
83,before,21620
84,never,21473
85,any,21428
86,medication,20443
87,doctor,20290
88,severe,20232
89,bad,20221
90,felt,20126
91,night,19953
92,don't,19918
93,i've,19682
94,weeks,19677
95,feeling,19558
96,other,19553
97,depression,19479
98,much,19156
99,life,19110
100,than,19090
101,they,19034
102,really,18501
103,better,17926
104,again,17903
105,symptoms,17702
106,over,17612
107,week,17340
108,what,17271
109,even,17269
110,go,17238
111,gain,16993
112,it's,16924
113,by,16848
114,could,16656
115,dose,16383
116,went,16186
117,going,16081
118,work,15821
119,since,15479
120,nausea,15273
121,pill,15265
122,were,15147
123,well,14884
124,having,14771
125,good,14370
126,your,14238
127,two,14167
128,he,14165
129,know,14120
130,think,13908
131,few,13568
132,these,13285
133,there,13178
134,every,13040
135,problems,13036
136,stopped,13022
137,month,12939
138,got,12901
139,hours,12742
140,didn't,12722
141,headaches,12516
142,away,12505
143,last,12207
144,body,12198
145,help,12149
146,too,12060
147,stomach,11966
148,down,11720
149,being,11699
150,extreme,11612
151,great,11507
152,heart,11395
153,mouth,11263
154,made,11226
155,medicine,11061
156,stop,11000
157,taken,10992
158,long,10945
159,year,10941
160,dry,10844
161,worse,10820
162,little,10592
163,getting,10578
164,fatigue,10574
165,mood,10564
166,times,10394
167,while,10368
168,can't,10355
169,thought,10311
170,sex,10295
171,people,10194
172,helped,10110
173,insomnia,10095
174,increased,10078
175,effect,10009
176,ago,10007
177,see,9904
178,almost,9884
179,horrible,9869
180,tired,9822
181,them,9690
182,blood,9681
183,how,9649
184,period,9537
185,appetite,9520
186,use,9441
187,normal,9272
188,ever,9258
189,without,9177
190,tried,9157
191,want,9128
192,she,9087
193,headache,9045
194,who,9021
195,hair,8986
196,until,8887
197,none,8861
198,many,8848
199,try,8841
200,right,8796
201,worked,8742
202,dizziness,8717
203,put,8698
