,Word,Count,Weight,Weight_Abs
12400,rrms,13,0.0,0.0
11811,melanoma,14,0.0,0.0
11198,ditropan,16,0.0,0.0
10301,walgreen's,19,0.0,0.0
4726,ovulating,91,0.0,0.0
9369,larium,23,0.0,0.0
8026,levora,32,0.0,0.0
4019,savella,127,0.0,0.0
10328,laproscopy,19,0.0,0.0
12099,trazedone,13,0.0,0.0
9275,breakthough,24,0.0,0.0
9723,cfc,21,0.0,0.0
8497,femcon,28,0.0,0.0
11172,fallopian,16,0.0,0.0
11170,astrazeneca,16,0.0,0.0
9703,mifeprex,22,0.0,0.0
8989,axert,25,0.0,0.0
11837,rhabdomyolysis,14,0.0,0.0
9690,myomectomy,22,0.0,0.0
5618,vagifem,65,0.0,0.0
12421,progestrone,13,0.0,0.0
11143,prozak,16,0.0,0.0
9683,adenomyosis,22,0.0,0.0
8981,bcps,25,0.0,0.0
11842,foreskin,14,0.0,0.0
8977,dyazide,25,0.0,0.0
11844,paragard,14,0.0,0.0
3952,pmdd,130,0.0,0.0
7013,testicular,42,0.0,0.0
11132,herbalist,16,0.0,0.0
8317,kaiser,30,0.0,0.0
9360,lutera,23,0.0,0.0
12115,bcuz,13,0.0,0.0
6741,pdr,45,0.0,0.0
10249,anastrozole,19,0.0,0.0
7479,vaginosis,37,0.0,0.0
12379,tarka,13,0.0,0.0
6737,nitrofurantoin,45,0.0,0.0
11273,replens,16,0.0,0.0
10250,recognizing,19,0.0,0.0
8326,bcp's,30,0.0,0.0
11782,malarone,14,0.0,0.0
7183,entocort,40,0.0,0.0
9055,serevent,25,0.0,0.0
10273,boyfriend's,19,0.0,0.0
11784,diarreaha,14,0.0,0.0
10277,i'am,19,0.0,0.0
6728,proscar,45,0.0,0.0
11248,zegerid,16,0.0,0.0
7743,orthotricyclen,34,0.0,0.0
9741,aveeno,21,0.0,0.0
11803,lamsil,14,0.0,0.0
11237,lubricants,16,0.0,0.0
8724,subutex,27,0.0,0.0
11228,cerazette,16,0.0,0.0
9027,reclipsen,25,0.0,0.0
11224,mentrual,16,0.0,0.0
9358,xarelto,23,0.0,0.0
6719,bph,46,0.0,0.0
9362,bisphosphonates,23,0.0,0.0
7724,levlite,35,0.0,0.0
11130,sustiva,16,0.0,0.0
12429,cryselle,13,0.0,0.0
10992,gps,17,0.0,0.0
12449,sophomore,13,0.0,0.0
3837,estrostep,136,0.0,0.0
7700,menstruating,35,0.0,0.0
10463,exforge,18,0.0,0.0
12451,hytrin,13,0.0,0.0
10991,thyrolar,17,0.0,0.0
6640,vulva,46,0.0,0.0
12452,rads,13,0.0,0.0
12055,hemorrhaging,14,0.0,0.0
8523,letrozole,28,0.0,0.0
6639,septra,46,0.0,0.0
8938,mdd,26,0.0,0.0
6422,florida,50,0.0,0.0
10479,seldane,18,0.0,0.0
9574,hormonally,22,0.0,0.0
10480,microgynon,18,0.0,0.0
6629,trimester,47,0.0,0.0
6425,norplant,50,0.0,0.0
9422,hashimoto's,23,0.0,0.0
3801,alesse,139,0.0,0.0
9424,dht,23,0.0,0.0
12463,paxcil,13,0.0,0.0
5857,ejaculating,60,0.0,0.0
9555,depletes,22,0.0,0.0
12467,intolerances,13,0.0,0.0
12048,horomones,14,0.0,0.0
9608,iv's,22,0.0,0.0
10459,vagisil,18,0.0,0.0
8943,avodart,26,0.0,0.0
10996,amitiza,17,0.0,0.0
4793,reclast,89,0.0,0.0
11123,bextra,16,0.0,0.0
8965,premenstrual,25,0.0,0.0
11113,maoi's,16,0.0,0.0
3934,microgestin,131,0.0,0.0
10396,rapaflo,19,0.0,0.0
10401,tegaderm,18,0.0,0.0
2959,armour,215,0.0,0.0
12072,sansert,13,0.0,0.0
11084,headachey,16,0.0,0.0
11079,gnc,16,0.0,0.0
5653,implanon,64,0.0,0.0
9658,femera,22,0.0,0.0
11765,hopkins,14,0.0,0.0
11070,boston,16,0.0,0.0
9645,yasmine,22,0.0,0.0
4814,ovulated,88,0.0,0.0
7452,steven,37,0.0,0.0
8049,costco,32,0.0,0.0
11049,hysteroscopy,16,0.0,0.0
11045,errection,16,0.0,0.0
11034,bcs,16,0.0,0.0
7707,conceived,35,0.0,0.0
4827,perimenopause,88,0.0,0.0
8054,klaron,32,0.0,0.0
10439,pantyliner,18,0.0,0.0
9406,effexorxr,23,0.0,0.0
7151,mlt,40,0.0,0.0
8280,biotin,30,0.0,0.0
11301,aropax,16,0.0,0.0
7761,androgel,34,0.0,0.0
11308,africa,16,0.0,0.0
9890,diprivan,21,0.0,0.0
7531,melasma,36,0.0,0.0
11586,cylen,15,0.0,0.0
9202,menstration,24,0.0,0.0
12241,expierienced,13,0.0,0.0
12499,trisprintec,13,0.0,0.0
12243,swellings,13,0.0,0.0
4540,menstral,100,0.0,0.0
7530,laparoscopy,36,0.0,0.0
7560,mannose,36,0.0,0.0
11568,kolonopin,15,0.0,0.0
7221,finasteride,39,0.0,0.0
12263,famotidine,13,0.0,0.0
11673,kava,15,0.0,0.0
12269,gildess,13,0.0,0.0
7218,women's,40,0.0,0.0
9184,oestrogen,24,0.0,0.0
9299,flowmax,23,0.0,0.0
7887,pilates,33,0.0,0.0
8403,sandoz,29,0.0,0.0
7889,naprosyn,33,0.0,0.0
9986,laproscopic,20,0.0,0.0
5385,bayer,71,0.0,0.0
12282,unflavored,13,0.0,0.0
7793,aldactone,34,0.0,0.0
6218,frova,53,0.0,0.0
9166,england,24,0.0,0.0
12238,topral,13,0.0,0.0
12237,exelon,13,0.0,0.0
6880,lactating,43,0.0,0.0
12176,alphagan,13,0.0,0.0
8663,wife's,27,0.0,0.0
7237,herceptin,39,0.0,0.0
9912,african,21,0.0,0.0
9913,lodine,21,0.0,0.0
9920,cardura,21,0.0,0.0
9922,vasotec,21,0.0,0.0
9266,novolog,24,0.0,0.0
9926,leiden,21,0.0,0.0
11630,lubricated,15,0.0,0.0
12190,sloughing,13,0.0,0.0
8667,previfem,27,0.0,0.0
9903,prego,21,0.0,0.0
8660,polycystic,27,0.0,0.0
2365,propecia,314,0.0,0.0
7814,demulen,34,0.0,0.0
5982,nordette,58,0.0,0.0
4526,estring,100,0.0,0.0
5304,trivora,73,0.0,0.0
6892,ultracet,43,0.0,0.0
11615,acetominophen,15,0.0,0.0
12182,antiobiotics,13,0.0,0.0
9901,pmsing,21,0.0,0.0
6887,scrotum,43,0.0,0.0
12226,tia's,13,0.0,0.0
9293,tailbone,24,0.0,0.0
12227,felodipine,13,0.0,0.0
9900,levofloxacin,21,0.0,0.0
11598,solodyn,15,0.0,0.0
9927,york,21,0.0,0.0
10491,ovral,18,0.0,0.0
11515,orthro,15,0.0,0.0
4354,novum,108,0.0,0.0
5943,cervix,58,0.0,0.0
10125,ponstel,20,0.0,0.0
5487,postpartum,69,0.0,0.0
11398,nasalcrom,15,0.0,0.0
9818,maois,21,0.0,0.0
10135,cdiff,19,0.0,0.0
5494,seasonique,68,0.0,0.0
9334,peridex,23,0.0,0.0
11750,tequin,14,0.0,0.0
5495,prostatitis,68,0.0,0.0
1929,seasonale,429,0.0,0.0
5499,diamox,68,0.0,0.0
7955,fms,33,0.0,0.0
9100,gynocologist,25,0.0,0.0
12358,tysabri,13,0.0,0.0
9809,dopamax,21,0.0,0.0
11357,bc's,15,0.0,0.0
11356,nauseaous,15,0.0,0.0
1914,trinessa,432,0.0,0.0
11350,ferritin,15,0.0,0.0
9805,uroxatral,21,0.0,0.0
6984,clarinex,42,0.0,0.0
11755,rx's,14,0.0,0.0
11349,preggers,15,0.0,0.0
11347,vulvar,15,0.0,0.0
11325,hairdresser,15,0.0,0.0
8339,mevacor,30,0.0,0.0
10117,treximet,20,0.0,0.0
11405,sweeteners,15,0.0,0.0
12136,starbucks,13,0.0,0.0
12343,tourette's,13,0.0,0.0
11697,midol,14,0.0,0.0
10032,gynecomastia,20,0.0,0.0
11500,wellbutin,15,0.0,0.0
10037,azurette,20,0.0,0.0
6962,msm,42,0.0,0.0
2408,pcos,303,0.0,0.0
11719,naproxin,14,0.0,0.0
11487,effient,15,0.0,0.0
12298,ductal,13,0.0,0.0
12304,tonsilitis,13,0.0,0.0
8468,john's,29,0.0,0.0
11461,carbatrol,15,0.0,0.0
11727,doryx,14,0.0,0.0
6824,mris,44,0.0,0.0
11451,germany,15,0.0,0.0
11445,alvesco,15,0.0,0.0
12320,wbxl,13,0.0,0.0
10089,iwas,20,0.0,0.0
6792,stevens,44,0.0,0.0
12329,pedicure,13,0.0,0.0
12331,zertec,13,0.0,0.0
11735,chicago,14,0.0,0.0
9115,hooray,25,0.0,0.0
2498,micronor,288,0.0,0.0
6197,junel,54,0.0,0.0
11740,hurray,14,0.0,0.0
8635,opana,28,0.0,0.0
11413,astepro,15,0.0,0.0
12310,diane,13,0.0,0.0
3154,sprintec,192,0.0,0.0
11650,wellburtin,15,0.0,0.0
10658,marinol,18,0.0,0.0
9508,estrogens,22,0.0,0.0
8870,egd,26,0.0,0.0
7138,aygestin,40,0.0,0.0
10824,aredia,17,0.0,0.0
10911,lymphedema,17,0.0,0.0
12003,roxicodone,14,0.0,0.0
10785,lorcet,17,0.0,0.0
7086,lexipro,41,0.0,0.0
6600,tearfulness,47,0.0,0.0
10738,nitrofur,17,0.0,0.0
4889,kariva,85,0.0,0.0
11985,janssen,14,0.0,0.0
10731,pregnacy,17,0.0,0.0
5823,vivelle,61,0.0,0.0
8874,cenestin,26,0.0,0.0
10601,bonviva,18,0.0,0.0
9511,snris,22,0.0,0.0
9539,tricyclin,22,0.0,0.0
9439,prostrate,23,0.0,0.0
10914,hashimotos,17,0.0,0.0
12028,cohosh,14,0.0,0.0
10641,proair,18,0.0,0.0
